Day,x,y
138,21,89.9588580417
139,13,52.0514536626
140,18,50.542603922
141,17,111.8503444982
142,14,63.3200537233
143,16,52.7671608922
144,14,77.1991190568
145,16,48.8570638706
146,22,68.1785049442
147,20,51.5713448067
148,17,47.3017023068
149,17,36.4671794296
150,21,48.6186575245
151,21,58.5555998599
152,18,53.07420548
153,19,32.3493589556
154,17,30.0186490383
155,10,20.040727193
156,23,39.0284552846
157,21,46.9184611117
158,16,41.0334114597
159,23,48.5389120224
160,17,58.3560530524
161,19,59.0140472866
162,21,43.8957108072
163,18,81.8444088097
164,17,48.6723967252
165,22,49.6763785604
166,20,66.8375868187
167,22,114.7351883829
168,22,129.0387705046
169,11,107.636293434
170,23,11961.0350499575
171,17,5987.3021774613
172,21,3032.8524339335
173,14,1534.6509477704
174,18,775.7393265344
175,12,390.6681539079
176,14,203.0852911578
177,17,134.2646845731
178,17,168.9651536846
179,16,88.3236142791
180,21,52.8422836365
181,18,38.5654269454
182,18,30.7082625514
183,16,26.1258831168
184,13,17.4694176508
185,22,87.4625028497
186,15,66.0092385271
187,16,114.6843779166
188,20,75.3811280175
189,20,49.8052925954
190,12,32.5247444857
191,9,17.9980191387
192,17,13.5442628377
193,17,12.7530016312
194,16,26.788283744
195,23,32.3714897116
196,15,37.4579785275
197,24,68.4834269405
198,20,63.2329189712
199,17,54.0611649881
200,16,45.0775566579
201,26,152.3698101304
202,20,86.6031255385
203,18,67.9277938926
204,18,44.2476130135
205,21,44.8667274625
206,14,35.1665349798
207,17,59.369729726
208,17,94.1652788748
209,16,99.2464732933
210,18,78.4999467882
211,16,45.0181176466
212,12,44.0379350888
213,18,29.4121942017
214,19,32.1958728966
215,16,25.4636773559
216,19,25.8668032148
217,16,19.4039810183
218,24,35.3518951098
219,18,39.7546832094
220,23,60.3113465591
221,20,42.654976387
222,18,35.3758071709
223,17,27.9927059032
224,14,51.5600544031
225,18,96.9089912872
226,17,76.6269559112
227,13,41.9301939769
228,22,53.0206528007
229,15,30.1517758074
230,24,23.7482764586
231,12,23.1843270521
232,14,15.3523253071
233,18,15.0651335265
234,21,28.496802485
235,23,27.5706476183
236,18,31.3700017315
237,20,44.5711406229
238,21,62.6448039944
239,18,53.0186991298
240,27,49.0983105394
241,22,40.8923441734
242,21,37.6990469013
243,15,24.079964448
244,19,23.5706800661
245,15,18.7398859369
246,23,64.3086204083
247,28,53.4525848738
248,17,113.5979282847
249,14,64.9565527524
250,19,46.7697211918
251,20,54.3180945422
252,20,38.0815484897
253,13,39.1987354466
254,21,142.706681647
255,17,86.2392891372
256,17,92.9379116994
257,13,51.6466312726
258,20,33.5997233526
259,21,59.2296910322
260,17,65.7733653159
261,17,52.1447213779
262,19,45.8852262034
263,15,82.0750668623
264,19,64.6327981949
265,18,54.2603107393
266,24,46.0806719656
267,14,37.7237406155
268,16,23.3194490695
269,14,20.4043783347
270,22,24.567829383
271,14,22.6168018851
272,14,22.6802499884
273,21,24.1927891012
274,9,14.816778556
275,26,34.210955423
276,15,22.4332843022
277,19,17.6938040874
278,20,31.0887398281
279,16,29.0616691863
280,23,32.8508241063
281,19,27.3842716384
282,13,42.0721860488
283,21,87.4825016793
284,21,55.4685649001
285,18,93.5370960193
286,16,56.2356557243
287,22,46.5415504629
288,23,90.5807914948
289,11,148.0146725737
290,13,90.7251144079
291,12,81.7883098387
292,17,62.6505892505
293,19,51.7339961611
294,13,46.1381185328
295,18,35.6973190526
296,19,102.6110680269
297,11,70.2363003608
298,18,51.4254410622
299,23,76.0573015707
300,17,41.3741500781
301,23,36.2928633798
302,26,108.5753577244
303,21,72.8773750395
304,17,56.4978734177
305,18,77.9076856232
306,13,59.8019489753
307,18,31.9149879005
308,26,48.853936572
309,15,28.6186655387
310,17,162.547832846
311,22,90.1768397789
312,18,60.126309358
313,16,152.5966384961
314,24,80.8279707971
315,10,46.5541358364
316,19,39.0775761988
317,13,32.8717403421
318,15,36.508913747
319,15,53.0031269346
320,13,33.0524262017
321,10,34.9912064434
322,19,38.1802249747
323,14,32.2867785314
324,20,40.0733546728
325,19,39.6597586253
326,19,30.4606029101
327,23,43.0737441603
328,16,1211.5312402032
329,10,606.5419018418
330,20,324.3232332373
331,14,215.3433230547
332,17,127.1145078141
333,16,71.3416240085
334,17,48.6604543869
335,23,35.4245346664
336,16,48.7464282528
337,16,36.2527882167
338,21,38.1457191525
339,17,26.2124509831
340,17,42.1600690533
341,17,46.2841033964
342,18,42.8503527509
343,19,30.6861305146
344,17,30.9530467727
345,19,38.1372581204
346,16,38.8501126639
347,15,32.4207654737
348,16,440.7643516771
349,18,254.924381299
350,15,198.2803193909
351,14,119.4086028108
352,19,78.7156243934
353,22,85.5529212439
354,21,103.9433050441
355,18,62.9701386766
356,19,89.352028147
357,15,48.1123890324
358,17,34.2863701557
359,23,49.0297005782
360,30,77.3944796162
361,14,84.996704944
362,15,51.2560599842
363,24,96.3039101256
364,19,58.5193977921
365,11,34.0413120716
366,14,43.4295005041
367,11,1203.382688143
368,17,610.740792848
369,17,348.6265053986
370,16,211.5825869086
371,15,114.2774928205
372,10,63.6177871658
373,19,47.6305265685
374,16,44.6113541241
375,15,27.0973024907
376,18,99.8093484882
377,27,59.6022637701
378,14,33.4672605925
379,17,25.9420148049
380,18,31.9057659426
381,16,38.1870446912
382,18,40.8672285115
383,15,59.5542459833
384,19,53.7008380241
385,23,54.0573414784
386,12,46.5915345442
387,20,68.2661638202
388,20,235.1943086076
389,17,124.7638209147
390,26,75.222100935
391,20,72.9849562115
392,21,1043.6511050983
393,28,556.0244039105
394,17,282.5919812129
395,19,149.0426376169
396,13,78.2532215565
397,12,1127.5403852643
398,14,570.5904214402
399,18,287.9637945406
400,14,151.2884894456
401,11,77.6388381018
402,11,42.7554477384
403,19,40.2638979965
404,21,37.1823705098
405,20,62.8796874093
406,21,45.7175038655
407,17,31.6506808306
408,16,30.7692423346
409,22,32.8124431571
410,9,18.6222164522
411,21,23.7836150612
412,19,43.5109874276
413,27,65.2906706848
414,13,52.9395011079
415,24,32.994750491
416,13,56.9768135666
417,11,36.9753927105
418,10,24.3296334942
419,22,36.3994882296
420,22,32.9671188098
421,14,33.7575593096
422,25,35.4170724821
423,23,112.0399028941
424,16,90.5425203336
425,24,54.691398243
426,22,83.8909434659
427,13,49.0639911764
428,12,36.1545386199
429,14,67.7283320025
430,15,54.6092449396
431,19,38.4300745311
432,31,90.4250529579
433,24,71.071305518
434,17,47.0010882095
435,17,50.3030269939
436,26,211.5700920628
437,14,119.6316050522
438,21,108.5470900173
439,12,57.14698943
440,18,34.9479714302
441,17,20.6116383414
442,15,106.640741684
443,22,168.2869492826
444,20,116.4288466395
445,17,63.5548293926
446,15,73.2190216657
447,15,57.9246290917
448,22,47.7888344123
449,21,60.368122822
450,25,40.388573989
451,25,48.6057849449
452,14,36.7890350352
453,18,50.4630918759
454,24,59.7549278784
455,19,44.031947637
456,13,27.0055409305
457,20,28.1745396033
458,15,33.7030520694
459,17,30.426552873
460,16,28.8648040825
461,19,859.2956140647
462,17,451.5529048136
463,20,235.8980315365
464,18,184.6137935031
465,19,127.284734161
466,13,73.9244676358
467,17,38.4476987114
468,23,59.265058273
469,18,42.9694794278
470,14,38.5250813431
471,16,58.5382992822
472,20,38.6092637703
473,16,69.8327483361
474,25,72.0236841373
475,25,53.1616182535
476,19,54.3116044357
477,13,29.3334914827
478,17,35.5972903615
479,12,28.7919885984
480,16,29.3607342989
481,13,36.0488233083
482,14,24.5715206576
483,21,726.422922166
484,21,386.4151136481
485,16,241.3913105268
486,14,131.9513274368
487,19,83.5291195844
488,19,49.7526344764
489,16,49.2144819916
490,13,34.7285798397
491,19,26.8656712308
492,11,28.3979938751
493,22,55.2720560624
494,32,58.6985530715
495,17,38.9701710358
496,16,29.2129847683
497,19,57.9527983161
498,20,35.1981956398
499,18,29.2836084216
500,18,36.7877586545
501,11,49.5340408231
502,22,184.4001624494
503,13,98.3498331926
504,15,68.9843448684
505,17,42.6881883568
506,16,27.5874461031
507,19,23.9087730965
508,20,410.858318141
509,20,213.5917914611
510,28,253.513117095
511,20,161.7218486374
512,24,145.4645697998
513,25,83.8936327336
514,20,59.64363509
515,19,52.7216017745
516,17,44.7483615987
517,15,46.0364706898
518,15,43.7661704946
519,20,135.9921446561
520,21,79.2319541511
521,17,47.9403451945
522,13,31.107911107
523,18,32.4927876677
524,17,25.9950329357
525,13,35.5869330977
526,17,31.4301354834
527,23,37.7063167976
528,17,52.9324784474
529,17,41.56725985
530,22,87.3989161929
531,20,91.999017812
532,24,71.2917545754
533,24,69.1825832936
534,14,75.3489885957
535,20,66.9206787963
536,19,76.7408605952
537,19,46.0422899876
538,17,43.5037077306
539,26,54.3842107835
540,24,44.2680735343
541,22,42.6214020681
542,21,27.219658015
543,22,50.2242770745
544,21,32.3673013147
545,25,35.2711063922
546,15,44.6325568637
547,15,32.12800773
548,20,28.6537312972
549,9,36.5845726465
550,18,25.8901315813
551,10,27.5650877949
552,17,40.8926604443
553,14,56.8636304034
554,17,31.8228512676
555,16,24.3362330188
556,16,22.8012542157
557,26,30.0945419495
558,14,16.9633645467
559,10,19.6535885035
560,16,133.4545299073
561,21,87.8931627936
562,18,64.1017494414
563,22,116.2650463138
564,18,83.006181546
565,12,46.722274937
566,22,39.653622601
567,11,37.7516962868
568,20,1073.0658433645
569,21,545.066079945
570,19,293.3204849757
571,19,363.3036663428
572,20,189.9788210511
573,16,99.3488680337
574,14,55.4443695669
575,24,44.3809044107
576,18,120.1019437942
577,17,74.4356496105
578,14,53.9480259725
579,20,43.3104975209
580,18,49.9155076344
581,15,32.3541537682
582,28,37.2191307121
583,18,24.9489065947
584,20,30.628750226
585,20,60.6182188799
586,16,41.6515776902
587,30,28.4791751754
588,17,129.6678670561
589,12,66.3724876799
590,19,75.1442488709
591,19,75.7670207173
592,22,75.8052743128
593,15,47.1260980182
594,20,122.7928959682
595,23,75.7238913995
596,14,53.3976608033
597,17,42.8560872476
598,30,48.7008210043
599,14,27.3512324792
600,21,32.4676062521
601,19,25.7198238856
602,19,36.6397632402
603,13,35.7088344186
604,20,29.8100040102
605,21,44.1312746881
606,11,47.1156824213
607,21,31.0655919859
608,19,34.165822023
609,20,55.2906133484
610,19,57.9995721107
611,13,78.5078323755
612,23,48.9825725025
613,19,45.250430808
614,21,36.9000830315
615,20,30.6570807586
616,16,18.4882079139
617,12,29.9452206052
618,23,43.3117917109
619,13,51.0932936902
620,25,79.8941618966
621,22,59.0476550717
622,23,54.3713537148
623,16,49.0635936006
624,14,47.1489316911
625,19,42.4381166437
626,15,34.1004823839
627,17,78.0032416499
628,14,50.6060410402
629,19,43.8042647612
630,23,152.3117820656
631,27,118.7636090015
632,21,100.9856424688
633,21,75.8149821783
634,20,46.4278069128
635,23,147.3885737323
636,16,144.3418016072
637,15,85.2238424038
638,20,57.6767018057
639,22,50.4400938421
640,25,84.6860774911
641,24,74.1466161478
642,23,72.9508358181
643,25,128.0016029516
644,14,145.7424101921
645,9,131.5953957587
646,22,124.6327528408
647,20,75.0219634463
648,22,93.3826988895
649,18,84.9038458617
650,22,144.769799963
651,9,72.659437527
652,13,45.6971826159
653,15,77.5789579723
654,12,53.7058535229
655,23,37.1100977798
656,22,28.2321291503
657,25,109.0115096062
658,20,82.2092688885
659,17,60.2122907699
660,23,145.5084221784
661,14,86.7696338914
662,15,70.2366223144
663,16,58.7585594807
664,14,38.8137105632
665,22,44.6068041842
666,14,472.6961303047
667,14,311.8816352931
668,13,169.5947483049
669,20,88.556147804
670,22,125.991699189
671,18,84.9991591862
672,25,126.8510376045
673,19,113.752975122
674,21,75.5829593185
675,23,54.9073488785
676,20,81.750728663
677,17,97.4476317008
678,21,68.9492501083
679,17,51.8093791018
680,22,83.0508739115
681,18,60.4487941429
682,11,35.8087903028
683,24,31.3765159082
684,23,95.6305915077
685,23,72.5814480952
686,14,55.8656449597
687,23,49.7076315482
688,16,45.320551195
689,14,34.9090175603
690,14,26.772968653
691,14,42.0125633388
692,28,61.188932779
693,26,384.8795835682
694,17,193.0415871321
695,13,118.735934839
696,17,79.8705936585
697,12,43.2532737609
698,23,39.448580293
699,19,94.2437608246
700,10,55.5173983922
701,9,34.4333865745
702,15,50.7579026345
703,16,47.1410651046
704,11,88.0056983435
705,21,75.9759922607
706,22,55.5520082145
707,21,30.1298700646
708,9,17.3798086924
709,14,15.0294234724
710,22,73.5581160526
711,24,542.3228594605
712,15,349.7312009858
713,19,189.4714477819
714,22,109.6678744875
715,19,70.2274681198
716,14,43.8060504983
717,22,81.210058407
718,17,51.1743660632
719,18,50.7171809015
720,12,57.2503433046
721,16,51.544801217
722,21,86.3579149521
723,24,54.795711536
724,20,82.3957846596
725,23,55.8894447816
726,18,32.2389376329
727,8,22.192436972
728,26,39.8555394689
729,19,35.4637158819
730,24,101.9191739787
731,17,54.3531046353
732,13,49.5822154929
733,21,47.252408138
734,19,30.2689175372
735,29,97.5566062352
736,13,53.1489467081
737,12,66.8800317075
738,18,37.2287698333
739,23,40.1035250122
740,14,49.1166842991
741,23,83.5162134935
742,17,74.3658187057
743,10,48.4446765892
744,15,32.956027554
745,15,25.6266635011
746,14,19.3812997082
747,15,99.6203879174
748,23,66.666788641
749,17,50.8731683222
750,19,39.4226717538
751,20,38.5528258752
752,21,36.5603768776
753,23,43.9745359008
754,21,116.4906615277
755,18,117.8078968005
756,16,87.3993462449
757,13,620.4855001133
758,18,322.9992285454
759,13,180.4683458029
760,13,101.0815272864
761,21,153.0917341194
762,19,85.4845537095
763,20,104.9827682185
764,14,55.4267354461
765,20,76.0342677184
766,19,68.4772969051
767,13,57.7348853294
768,21,103.4745564195
769,6,54.1626838578
770,12,45.4975711444
771,19,138.7286248027
772,23,95.2039661019
773,17,63.7579398879
774,16,42.8503235843
775,21,33.9328805334
776,15,20.5474667575
777,16,14.6739441845
778,26,17.9944067595
779,23,462.5924105153
780,26,282.8278850819
781,14,194.6905255747
782,17,114.0697177856
783,20,71.9190982514
784,20,45.4042192543
785,18,26.1201198635
786,11,21.4706980922
787,16,13.1715102735
788,11,36.512667361
789,20,32.122633374
790,13,19.6764619097
791,11,12.1272272548
792,24,138.8074798141
793,17,79.5222921449
794,19,78.2217312816
795,19,55.3504033675
796,19,48.1094767178
797,15,51.3728214116
798,27,49.2448182249
799,23,66.2610646156
800,18,46.1851295212
801,22,50.3694622712
802,16,33.7661613646
803,20,55.0707451287
804,21,88.4988360092
805,22,53.3555663939
806,17,80.9558599153
807,17,858.7676186482
808,20,446.0183085016
809,17,235.469782066
810,16,194.0668080639
811,28,190.3628419023
812,16,98.6365468183
813,14,61.5217221558
814,18,43.9387381501
815,21,30.0493138657
816,13,32.0656841673
817,13,48.2960170551
818,15,39.1773932105
819,23,34.1104445785
820,19,216.0563228473
821,22,139.2457457737
822,19,98.4970125414
823,14,64.8430424919
824,18,39.234830495
825,13,36.6038438823
826,12,29.8832262089
827,16,54.5502418496
828,12,160.7876867044
829,14,97.5768368919
830,25,89.3251373903
831,23,85.924076646
832,18,56.7612182722
833,21,39.1744832485
834,18,33.7777572392
835,20,38.7675292024
836,19,28.3687172282
837,18,20.0236439191
838,15,43.6972042532
839,13,398.6999415258
840,8,206.8390140415
841,15,111.8667270241
842,21,77.0461785467
843,19,69.4736896216
844,22,62.9691040611
845,18,39.4968361626
846,12,36.3815640656
847,14,179.4848849647
848,19,325.781546432
849,19,190.6184298358
850,15,97.1285465008
851,14,57.3748716833
852,16,55.9519481354
853,22,34.0137531419
854,18,41.0479545891
855,21,44.4258903265
856,14,29.4518523463
857,18,29.9392747685
858,21,95.1307448924
859,17,99.3323577922
860,16,85.1050263187
861,21,82.3766312598
862,19,64.7669274873
863,16,50.5049111228
864,23,73.1676347802
865,23,97.0530214073
866,24,66.7302472253
867,14,54.8069399228
868,15,66.2807947918
869,20,54.5638660539
870,20,72.328171659
871,21,58.6510306872
872,13,32.5187077571
873,26,133.5236336401
874,18,81.6576977353
875,10,44.8104793478
876,23,80.9478909562
877,18,61.972029054
878,18,42.8677009825
879,28,40.6599726235
880,22,42.2306202324
881,14,32.3603736031
882,13,19.84808685
883,14,16.3938852713
884,21,50.1206983829
885,22,33.101789275
886,20,27.184316064
887,14,22.8293406736
888,17,46.9368642475
889,18,44.5862350108
890,15,28.9842102163
891,24,28.1959377317
892,24,54.5980289976
893,21,41.7439063146
894,15,50.4836574742
895,16,46.2015770928
896,18,31.7766976248
897,20,77.0873988421
898,20,77.9218597156
899,13,104.9723427205
900,18,77.0230632799
901,23,109.8975145869
902,12,60.0960641433
903,14,43.6416479012
904,21,75.0362129842
905,20,98.346267666
906,14,59.9524825781
907,17,74.875989223
908,10,40.8820987974
909,16,26.6378525541
910,19,32.4748308557
911,29,47.3985024447
912,22,135.1706562816
913,16,82.4015495991
914,21,77.4757984577
915,13,68.654509552
916,12,38.8188526886
917,14,119.920607584
918,24,73.399330944
919,21,202.661169797
920,16,126.3545785646
921,17,107.9643159524
922,20,63.150233688
923,21,52.5013315146
924,19,52.9804659835
925,16,60.9247219926
926,19,62.7013773418
927,14,41.4184500577
928,14,23.271252505
929,17,32.2918849176
930,18,20.2149259903
931,24,58.1852738668
932,15,52.080342054
933,20,111.3670144502
934,14,71.1130798973
935,16,42.1698594048
936,15,28.8783575516
937,25,33.7526147656
938,18,43.5570887416
939,15,27.7133207287
940,21,22.3661654782
941,23,145.5934842633
942,11,113.0937304928
943,25,99.6622820696
944,17,61.6844244117
945,13,59.6245581078
946,17,150.5732433044
947,13,75.3761172906
948,20,52.5746786485
949,16,37.8292679332
950,22,42.9767267748
951,21,331.628184754
952,20,185.1704717499
953,21,121.0768612651
954,16,68.6383645079
955,14,125.2004828511
956,12,68.4552105295
957,27,62.474823822
958,17,45.8457040632
959,16,34.2201385277
960,12,18.4044501493
961,15,62.8600290302
962,17,108.4707409312
963,20,60.0295270361
964,22,113.4838572617
965,15,103.758971641
966,17,64.459308295
967,17,78.3866731041
968,24,76.0475416094
969,13,62.1369003816
970,18,59.3621755852
971,18,58.4627300725
972,15,494.8284552817
973,22,351.9668529026
974,24,203.3784525597
975,30,134.6308761726
976,21,161.7550990328
977,26,112.8326472226
978,17,66.9899650436
979,18,50.2184360907
980,28,36.4454921556
981,17,20.3878885046
982,21,35.2633009607
983,16,23.3059951963
984,17,67.0792051279
985,25,65.3178741463
986,18,74.5749959096
987,21,44.384947693
988,10,39.8225581058
989,22,50.6856742743
990,20,81.0170325846
991,9,40.710218273
992,13,110.9258379179
993,19,78.6529236842
994,13,50.5088535892
995,15,46.1454280704
996,20,26.4122715377
997,12,20.9055905284
998,25,24.33386435
999,21,36.4293518704
1000,16,41.1723764825
1001,21,49.1470367054
1002,20,42.0644694952
1003,13,25.20532039
1004,13,79.7672781289
1005,20,72.3337696246
1006,22,74.8129839594
1007,23,64.8273636706
1008,23,40.5106717584
1009,10,37.8219609574
1010,10,22.1614507454
1011,20,18.1991350391
1012,16,113.9392322213
1013,15,71.6061642384
1014,19,153.5222078477
1015,22,86.9726549399
1016,18,55.4660562162
1017,23,38.7179565644
1018,18,29.7829331547
1019,20,21.4966163966
1020,20,22.9874653048
1021,17,33.4091824051
1022,24,67.7358149765
1023,18,98.5431768739
1024,22,3075.8522419802
1025,23,1692.1685982979
1026,16,860.6959129126
1027,14,451.9393406663
1028,19,245.7911038179
1029,17,154.0329357255
1030,17,198.0058362111
1031,15,103.4803892706
1032,14,54.9984910062
1033,12,43.2456498814
1034,15,52.5489549844
1035,16,28.0074383605
1036,20,193.9442584935
1037,19,120.5082335127
1038,12,104.9795305964
1039,16,66.4598522185
1040,22,83.4280334179
1041,9,46.2293592399
1042,27,85.4036267094
1043,14,53.8216896016
1044,16,41.7089025476
1045,17,45.1099443164
1046,19,35.5536042769
1047,21,29.878108826
1048,20,38.729635864
1049,21,22.8342248376
1050,23,85.8651133308
1051,23,96.6604006552
1052,14,58.7718391575
1053,16,32.9824585076
1054,14,64.6799904202
1055,13,36.7479678053
1056,14,26.5166329813
1057,23,48.3587712347
1058,21,40.2102996034
1059,11,33.2543341291
1060,27,32.8565130313
1061,14,38.5425818879
1062,12,21.3827797325
1063,10,38.7336438749
1064,14,22.2518474584
1065,29,51.1236809713
1066,16,77.7590889143
1067,19,63.5563527423
1068,17,36.8130831102
1069,13,69.0094084967
1070,17,56.8326320178
1071,21,70.6233489724
1072,18,56.578087916
1073,16,84.0488248448
1074,16,47.6880006289
1075,12,27.9002893918
1076,22,50.8443120111
1077,15,42.6818984618
1078,14,30.9324566178
1079,16,48.0772002975
1080,24,45.0932193679
1081,11,37.2344339748
1082,15,33.9635004966
1083,17,30.7919744082
1084,17,20.3723311208
1085,19,16.1059650854
1086,22,37.2596934138
1087,20,30.1039279771
1088,24,32.5586476425
1089,17,32.8479925357
1090,20,25.1343261451
1091,20,91.0937592259
1092,12,64.1639281258
1093,14,34.1637737823
1094,22,62.4850741049
1095,21,127.5930745422
1096,21,83.0982587085
1097,13,465.1049145569
1098,23,661.2002201991
1099,19,364.9619280726
1100,15,202.8129200233
1101,21,108.2737113582
1102,11,61.5458717007
1103,17,51.751048575
1104,14,43.2335540956
1105,25,47.5404414759
1106,23,55.1933453942
1107,23,38.0009356386
1108,31,93.3093426077
1109,15,238.2006708885
1110,18,149.7436959182
1111,16,81.8132902385
1112,23,61.833796002
1113,19,54.1887543148
1114,18,36.484321057
1115,17,22.1835751689
1116,20,17.3457163639
1117,10,28.6006198811
1118,16,19.2303605987
1119,27,77.1895832904
1120,21,42.2230262705
1121,16,38.6831459065
1122,24,132.1334214055
1123,25,129.9724788016
1124,18,107.4522857956
1125,13,88.581446515
1126,14,67.3510825398
1127,18,45.588594419
1128,18,41.8685685315
1129,14,26.5195224576
1130,21,29.730766472
1131,11,23.3612400696
1132,17,20.853218154
1133,22,51.1685942528
1134,11,28.203926084
1135,24,40.4887474066
1136,16,27.2195518354
1137,19,226.1574033302
1138,22,161.4744617603
1139,17,112.9922544056
1140,13,100.9149433148
1141,20,100.3665620381
1142,19,76.2258780579
1143,15,55.4409875357
1144,23,199.6618480135
1145,28,147.0398566884
1146,15,83.137988608
1147,15,57.2131011708
1148,11,111.6372336742
1149,16,67.8626633218
1150,26,58.9247178547
1151,21,81.8241135013
1152,21,183.595969197
1153,15,110.8519332297
1154,12,69.149923059
1155,23,62.180455912
1156,14,40.5968820133
1157,19,40.0871276537
1158,15,37.9726516803
1159,18,95.2801265404
1160,20,63.5266534025
1161,27,44.8120562137
1162,19,60.2599512741
1163,15,36.2307018329
1164,18,52.500876344
1165,24,44.5177421184
1166,19,42.6886229526
1167,16,26.3681473475
1168,19,20.0464733596
1169,16,27.7822262378
1170,25,465.4593462073
1171,20,274.9911204854
1172,15,153.3891510242
1173,23,126.5222443397
1174,16,86.7301288759
1175,16,68.0886183139
1176,19,65.5584897221
1177,24,56.1764815593
1178,19,82.6343970367
1179,14,120.396703808
1180,27,101.9503312795
1181,23,67.1303675862
1182,10,49.761500451
1183,30,61.1397884698
1184,13,48.0833319496
1185,18,39.4308840316
1186,12,43.1921313971
1187,21,36.8455030428
1188,18,32.7497679839
1189,12,25.6743565935
1190,16,64.0972722892
1191,16,42.3618062397
1192,13,24.8714164959
1193,21,26.5784537575
1194,10,14.3424760547
1195,22,34.8609166447
1196,24,41.024268483
1197,18,64.9644689834
1198,22,37.9961447317
1199,21,138.0991821826
1200,11,71.5775516583
1201,14,38.7977591973
1202,7,22.6214432313
1203,17,144.8023382362
1204,19,90.10811078
1205,17,49.7623147792
1206,18,90.0421655513
1207,25,56.0739651792
1208,15,44.9831875754
1209,11,69.51251861
1210,20,41.9450363895
1211,17,70.880013431
1212,13,43.7550103975
1213,16,30.1450871567
1214,20,40.189786602
1215,17,41.3718863115
1216,22,42.647731883
1217,16,27.4209522615
1218,19,29.3537299201
1219,16,37.2661227132
1220,12,60.5133575486
1221,15,81.713103866
1222,21,53.8862592966
1223,23,69.309019065
1224,20,52.7920695234
1225,20,50.2314505479
1226,15,31.7313382933
1227,21,59.1657417598
1228,17,139.461249084
1229,22,75.1902863271
1230,10,45.8373157964
1231,20,60.1051047559
1232,17,42.8070168546
1233,14,41.2304985574
1234,21,32.9761530114
1235,15,18.9988754939
1236,15,21.8858333908
1237,21,24.3598056727
1238,25,167.6089726729
1239,13,97.0764471273
1240,24,71.1586388987
1241,12,38.8678177052
1242,17,44.8483666549
1243,21,30.1571366736
1244,20,23.5535746559
1245,22,39.6072666614
1246,14,30.1499099468
1247,10,30.2228482811
1248,12,16.4425445653
1249,14,18.8518271135
1250,21,147.0685132372
1251,20,83.5225124543
1252,18,86.6901404979
1253,17,60.6611238076
1254,22,93.2842950569
1255,12,69.8030239689
1256,15,49.6657062743
1257,18,31.6793719494
1258,22,43.6857433622
1259,10,24.9149712452
1260,8,27.4237163353
